title,genre,director,country,year
Мелодии Дунаевского,документальный фильм,Эрик Пырьев,,1963
Она,"приключенческий фильм,мелодрама,фэнтези",Роберт Дэй,,1965
Мелодия из подвала,"драма,мелодрама,криминальный фильм",Анри Верней,,1963
Мечте навстречу,фантастика,"Михаил Карюков,Отар Коберидзе",,1963
Меч и весы,драматический фильм,,,
Мандат,"исторический,приключенческий фильм,драма",Николай Лебедев,,1963
Маленькие рыцари,,"Нинель Ненова,Гено Цулая",,1963
Люди не всё знают,,Николай Макаренко,,1963
Мольба,драма,Тенгиз Абуладзе,,
Махорка-Муфф,короткометражный,"Жан-Мари Штрауб,Даниэль Юйе",,1963
Лян Шаньбо и Чжу Интай,музыкальная драма,Ли Ханьсян,,1963
Маньчжурский кандидат,"драматический,триллер",Джон Франкенхаймер,,
Материнское поле,,Геннадий Базаров,,
Маркета Лазарова,драма,Франтишек Влачил,,1967
Марат/Сад,"драма,исторический,музыкальный",Питер Брук,,
Мой друг Нодар,,Давид Рондели,,1967
Миллионы Крюгера,"Музыкальная,драма",Эмиль Нофал,,1967
Маклинток!,"вестерн,романтическая комедия",Эндрю Маклаглен,,
Марианна,,Василий Паскару,,1967
Места тут тихие,,Георгий (Егор) Щукин,,1967
Лицом к лицу,Спагетти-вестерн,Серджо Соллима,,1967
Маленький хаос,,Райнер Вернер Фасбиндер,,1967
Личная жизнь Кузяева Валентина,драма,"Игорь Масленников,Илья Авербах",,1967
Нежность,мелодрама,Эльёр Ишмухамедов,,
"Любовная история, или Трагедия телефонистки",драма,Душан Макавеев,,1967
Невеста Анд,фильм-драма,Сусуму Хани,,1966
«Майор Вихрь»,военная драма,Евгений Ташков,,1967
Неверность,,Астрид Хеннинг-Енсен,,1966
Невесты Фу Манчу,"триллер,приключения,криминал,фантастика",Дон Шарп,,
Небо нашего детства,,Толомуш Океев,,1966
Не самый удачный день,мелодрама,Юрий Егоров,,1966
Мышь среди мужчин,комедия,Жак Пуатрено,,1964
Не забудь… станция Луговая,Драма,"Никита Курихин,Леонид Менакер",,1966
Мыши,фантастика,Алан Кросланд младший,,1964
Наш человек в Марракеше,,Дон Шарп,,
Начальник Чукотки,"комедия,приключенческий фильм",Виталий Мельников,,1966
Мутант,фантастика,Алан Кросланд младший,,
"Наудачу, Бальтазар ",драма,Робер Брессон,,1966
Мсье Жак и другие,"киноальманах,комедия,экранизация","Рачья Капланян,Генрих Малян,Генрих Маркарян",,1964
Моя госпожа,комедийный фильм,,,
Крыло орла,Вестерн,Энтони Харви,,1979
Мулань,"фильм-биография,драма,военный фильм",,,
Крутой поворот,детективный фильм,Пётр Журавлёв,,
Крутое поле,Киноповесть,Леон Сааков,,1979
Кровь в Венеции,джалло,Марио Ланди,,1979
Могила льва,исторический,Валерий Рубинчик,,1971
Кровная связь,триллер,Теренс Янг,,1979
Кровавая вражда,мелодрама,Лина Вертмюллер,,1979
Кривая сабля полной луны,"боевик,драма",,,1979
Моя прекрасная леди,"мюзикл,драма,мелодрама,комедия",Джордж Кьюкор,,
Мне не хватает Сони Хени,"короткометражная,комедия","Карпо Ачимович-Година,Тинто Брасс,Милош Форман,Младомир «Пуриша» Джорджевич,Бак Генри,Душан Макавеев,Пол Моррисси,Фредерик Уайзман",,
Мировой парень,,Юрий Дубровин,,1971
Минута молчания,,Игорь Шатров,,1971
Миллион за Лауру,комедия,Иероним Пшибыл,,1971
Минни и Московитц,"комедия,драма",Джон Кассаветис,,1971
Михай Храбрый,"военно-,историческая драма,фильм-биография",Серджиу Николаеску,,1971
Месяц август,,Вадим Михайлов,,
Маяк на краю света,Приключенческий фильм,Кевин Билингтон,,1971
Мария — королева Шотландии,драма,Чарльз Джэррот,,1971
Методы доктора Кэри,детектив,Блейк Эдвардс,,1972
Мания величия,комедия,Жерар Ури,,
Механик,"триллер,боевик",Майкл Уиннер,,1972
Мастер и Маргарита,фэнтезийный фильм,,,
Любить человека,драма,Сергей Герасимов,,
Людвиг,"драма,исторический",Лукино Висконти,,1972
Марджо,"документальный,биографический",Ховард Смит,,1972
Любимый Раджа,музыкальный фильм,Мохан Сегал,,1972
"Ловкость рук, Ваше Величество!","кинокомедия,исторический фильм",,,1972
Летняя сестра,драма,Нагиса Осима,,1972
Любовь после полудня,"комедия,драма",Эрик Ромер,,1972
Лесная баллада,,"Нурмухан Жантурин,Гук Ин Цой",,1972
Леди-вихрь,"боевик,драма",,,1972
Лиза,драма,Марко Феррери,,1972
Летние сны,"музыкальная,комедия",Виталий Кольцов,,1972
Леди поёт блюз,"музыкальная,драма,фильм-биография",Сидни Дж. Фьюри,,1972
Моряк номер 7,боевик,Ло Вэй,,1973
Молчание доктора Ивенса,научная фантастика,Будимир Метальников,,
Мой брат Анастазия,драматический фильм,,,
Много шума из ничего,комедия,Самсон Самсонов,,
Мир на проводе,Киберпанк,Райнер Вернер Фасбиндер,,1973
Небесный ястреб,"боевик,драма",,,1974
Незнакомец и стрелок,вестерн,Энтони Доусон,,
Не трогай белую женщину,драма,Марко Феррери,,1974
Небо со мной,"военный фильм,драма",Валерий Лонской,,1974
Народный роман,"комедия,драма",Марио Моничелли,,1974
Не болит голова у дятла,"мелодрама,детский фильм",Динара Асанова,,1974
Невероятные приключения итальянцев в России,"комедия,приключения",Эльдар Рязанов,,
Мятежная Патагония,"драма,история",Эктор Оливера,,1974
Мы встретимся снова,"драма,мелодрама",Чан Ву,,1974
Приведу в порядок Америку и вернусь,"драма,комедия",Нанни Лой,,1974
Необыкновенное путешествие к центру земли,"фантастика,приключенческий фильм,фэнтези",Кевин Коннор,,1976
Невинный,драма,Лукино Висконти,,1976
Невезучий папарацци,комедия,Серджо Корбуччи,,1976
Нада,"Криминальный,триллер",Клод Шаброль,,1974
Небесные наездники,"боевик,приключенческий фильм",Даглас Хикокс,,1976
Небесные ласточки,музыкальная комедия,Леонид Квинихидзе,,1976
Настоящий тбилисец и другие,комедия,Нана Мчедлидзе,,1976
Нападение на тайную полицию,драматический фильм,Ольгерт Дункерс,,1974
Опали листья с деревьев,"драма,военный",Станислав Ружевич,,1975
Найти девушку,комедия,Джон Трент,,1976
Заколдованные столики,драма,Януш Маевский,,1975
От зари до зари,,Гавриил Егиазаров,,1975
Нападение на 13-й участок,боевик,Джон Карпентер,,1976
Они сражались за Родину,"военный фильм,драма",Сергей Бондарчук,,1975
Одиннадцать надежд,,Виктор Садовский,,
Обретёшь в бою,производственная драма,Марк Орлов,,
Окровавленные губы,"фильм ужасов,эротический фильм",Жан Роллен,,
Наследие,триллер,Ричард Маркуанд,,
Нэшвилл,музыкальный фильм,Роберт Олтмен,,1975
Окаменелость,фильм-драма,Масаки Кобаяси,,1975
Ночные ходы,"криминальный фильм,триллер",Артур Пенн,,1975
Направляясь на юг,"вестерн,комедия",Джек Николсон,,1978
Мятежный «Орионъ»,,Евгений Шерстобитов,,1978
Мятежная баррикада,,Юрий Швырёв,,1978
Мужчине живётся трудно. ,комедия,Ёдзи Ямада,,
Мужские игры на свежем воздухе,,"Роланд Калныньш,Гунар Пиесис",,1978
Мстительный орёл,"боевик,приключенческий фильм,драма",,,1978
Мужчине живётся трудно. ,комедия,Ёдзи Ямада,,
Агент-невидимка,"фильм ужасов,фантастический фильм",Эдвин Л. Марин,,1942
"Предания о героях, стреляющих в орлов","боевик,драма,фэнтези",Чжан Чэ,,1977
Вне подозрений,"драма,триллер",Ричард Торп,,1943
Вне закона,,,,
Верная подруга,драма,Винсент Шерман,,1943
Вечность и один день,военный,"Рене Клер,Эдмунд Гулдинг,Седрик Хардвик,Фрэнк Ллойд,Виктор Сэвилл,Роберт Стивенсон,Герберт Уилкокс",,
Бэтмен,"супергеройский фильм,боевик",Ламберт Хиллиер,,
Аннычка,"драма,военный",,,1968
Вечное возвращение,"драма,мелодрама",Жан Деланнуа,,1943
Битва за Россию,документальный,"Фрэнк Капра,Анатоль Литвак",,1943
Битва за нашу,документальный фильм,Юлия Солнцева,,1943
Ангел в тюбетейке,комедия,Шакен Айманов,,1968
Ангелы ада,боевик,,,1968
Анжелика и султан,"экранизация,приключенческий фильм,мелодрама",Бернар Бордери,,1968
Айседора,драма,Карел Рейш,,1968
Встретимся в Сент-Луисе,музыкальный фильм,Винсент Миннелли,,1944
Ад в Тихом океане,"приключенческий фильм,боевик",Джон Бурмен,,1968
24-25 не возвращается,"детективный фильм,драма","Алоиз Бренч,Ростислав Горяев",,1968
Вильсон,байопик,Генри Кинг,,
Великая победа,"документальный,военный,исторический,пропагандистский","Николай Комаревцев,Павел Паллей,Валерий Соловцов",,1944
В седле,вестерн,Эдвин Л. Марин,,
Багровый коготь,детектив,Рой Уильям Нил,,
Вслед за плывущими облаками,"военная,драма",Миёдзи Иэки,,
«В 6 часов вечера после войны»,мелодрама,Иван Пырьев,,1944
Большая земля,,Сергей Герасимов,,
Вокзал Термини,,Витторио Де Сика,,1953
Враг общества No 1,комедия,Анри Вернёй,,1953
Врата ада,драма,Тэйноске Кинугаса,,1953
Возвращение дона Камилло,комедия,Жюльен Дювивье,,1953
Алмазы,драма,"Иван Правов,Александр Оленин",,1947
Война миров,"драма,фантастика",Байрон Хэскин,,1953
Алишер Навои,драма,Камиль Ярматов,,1947
Аллея кошмаров,"драма,фильм нуар",Эдмунд Гулдинг,,1947
Антуан и Антуанетта,,Жак Беккер,,1947
Большие надежды,"драма,мелодрама",Дэвид Лин,,1946
Айви,,Сэм Вуд,,1947
Битва на рельсах,,Рене Клеман,,1946
Беспокойное хозяйство,,Михаил Жаров,,
Белый Клык,киноповесть,Александр Згуриди,,1946
Без сожалений о нашей юности,"драма,приключения",Акира Куросава,,1946
Благонадёжный папаша,,Рене Клеман,,1946
Большая жизнь. Вторая серия,,Леонид Луков,,1946
Бедлам,Фильм ужасов,Марк Робсон,,
Барбизонское искушение,комедия,,,1946
Бандит,"драма,криминал",Альберто Латтуада,,1946
Девушка Араратской долины,комедия,Амо Бек-Назарян,,1949
Дырявый барабан,комедия,Кэйсукэ Киносита,,
Дикая Бара,драматический фильм,,,
Джонни-стукач,Фильм нуар,Уильям Касл,,1949
Адмирал Нахимов,историко-биографический,Всеволод Пудовкин,,1946
Дом незнакомцев,"нуар,драма",Джозеф Лео Манкевич,,1949
Джонни Аллегро,Фильм нуар,Тед Тецлафф,,1949
Голубые горы,драма,Тадаси Имаи,,
Встреча на Эльбе,"военный фильм,детектив",Григорий Александров,,1949
Господство террора,"Фильм нуар,Триллер",Энтони Манн,,1949
Город за рекой,Фильм нуар,Максвелл Шейн,,
Вся королевская рать,политическая драма,Роберт Россен,,1949
Горький рис,драма,Джузеппе Де Сантис,,
Восход луны,нуар,Фрэнк Борзейги,,
Гамлет,драма,Лоренс Оливье,,
Геклен,"приключенческий фильм,исторический фильм",Бернар де Латур,,1948
Верёвка,Триллер,Альфред Хичкок,,1948
Ван Гог,,Ален Рене,,
Все мои сыновья,Драма,Ирвинг Рейс,,1948
Весна в городке,мелодрама,Фэй Му,,1948
Большой удар,Фильм нуар,Шерри Шурдс,,1948
Груз в Кейптаун,"Приключенческая мелодрама,Фильм нуар",Эрл Макэвой,,
Большие часы,"криминальный фильм,драма,фильм нуар,триллер",Джон Фэрроу,,1948
Где живёт опасность,Фильм нуар,Джон Фэрроу,,1950
Герника,документальный,"Робер Эссанс,Ален Рене",,
Выследить человека,Фильм нуар,Джордж Арчейнбод,,1950
Вызов Лесси,"драма,семейный фильм",,,
Выхода нет,"Фильм нуар,Социальная драма",Джозеф Манкевич,,
Вымогательство,Фильм нуар,Джозеф Певни,,1950
Водоворот,"триллер,нуар",Отто Премингер,,
Всё о Еве,драматический фильм,Джозеф Лео Манкевич,,1950
Варшавская мелодия,"драма,мелодрама",Рубен Симонов,,1969
Виски в изобилии,комедия,Александр Маккендрик,,
Вальс,драма,Виктор Аброосимович Титов,,1969
"Варвара-краса, длинная коса",сказка,Александр Роу,,1969
В этом южном городе,драма,Эльдар Кулиев,,1969
В год господень,комедийный фильм,,,
Бутч Кэссиди и Сандэнс Кид,"вестерн,бадди-муви",Джордж Рой Хилл,,1969
Братья Сарояны,драма,"Хорен Абрамян,Аркадий Айрапетян",,
Боб и Кэрол и Тед и Элис,"комедия,драма",Пол Мазурски,,
Блондин — приманка для убийцы,"детектив,триллер",Харольд Филипп,,1969
Битва на Неретве,"военный,драма",Велько Булайич,,1969
Дитя Монте-Карло,комедийный фильм,,,
День схватки,Документальное кино,Стэнли Кубрик,,1951
Детективная история,"Фильм нуар,Драма",Уильям Уайлер,,
Двойной динамит,романтическая комедия,,,
Бриллиантовая рука,комедия,Леонид Гайдай,,
"День, когда остановилась Земля","фантастика,триллер",Роберт Уайз,,1951
"Германия, год нулевой",драма,Роберто Росселлини,,1948
Далёкие барабаны,вестерн,Рауль Уолш,,
Давай сделаем это легально,комедия,,,1951
Жених для Лауры,Музыкальная комедия,,,1955
Дьявольские куколки-подростки,криминальная драма,,,1955
Дым в лесу,,"Евгений Карелов,Юрий Чулюкин",,1955
Ёкихи / Ян Гуйфэй,драма,Кэндзи Мидзогути,,1955
Дорога,,Александр Столпер,,1955
Дом из бамбука,Фильм нуар,Сэмюэл Фуллер,,1955
Доброе утро,комедия,Андрей Фролов,,1955
Доктор на море,комедийный фильм,,,
Женщины ждут,,Ингмар Бергман,,1952
Гром на холме,"Фильм нуар,Мелодрама",Дуглас Сирк,,1951
Запрещённые игры,драма,Рене Клеман,,1952
Жить,драма,Акира Куросава,,1952
Европа 51,драма,Роберто Росселлини,,1952
Дуня,,Иозеф фон Баки,,1955
Добродетельная шлюха,драма,,,1952
Дипкурьер,триллер,Генри Хэтэуэй,,1952
Женщина Сайкаку,"драма,мелодрама",Кэндзи Мидзогути,,1952
Джамбул,"исторический,биографический,драма",Ефим Дзиган,,1952
Дети Хиросимы,драма,Канэто Синдо,,1952
Два гроша надежды,драма,Ренато Кастеллани,,1952
Господин Такси,,Андрэ Юнебелль,,1952
Город в плену,Фильм нуар,Роберт Уайз,,
Все мы убийцы,драматический фильм,,,
Жил-был король,"фильм-сказка,семейное кино,кинокомедия",Борживой Земан,,1954
"Господин Легиньон, стрелочник",,,,1952
Египтянин,"драма,пеплум",Майкл Кертис,,1954
Другая женщина,Фильм нуар,Гуго Гаас,,1954
Дьяволицы,триллер,Анри-Жорж Клузо,,1954
Дочь степей,драма,"Шакен Айманов,Карл Гаккель",,1954
Дорога,драма,Федерико Феллини,,1954
Долгое ожидание,Фильм нуар,Виктор Сэвилл,,1954
Дьяволица с Марса,научная фантастика,Дэвид Макдональд,,
Дети партизана,шпионский фильм,"Лев Голуб,Николай Фигуровский",,1954
История Эстер Костелло,драма,Дэвид Миллер,,1957
"Длинный, длинный трейлер","комедия,мелодрама",Винсент Миннелли,,
Дети четверга,документальный,Линдсей Андерсон,,1954
Джонни-гитара,вестерн,Николас Рэй,,1954
Дни любви,"комедия,драма",Джузеппе Де Сантис,,1954
Испортит ли успех Рока Хантера?,"сатирическая,кинокомедия",,,1957
"Засыпай, мой малыш",музыкальная комедия,Фрэнк Ташлин,,1958
Зубастая улыбка,короткометражный,Роман Полански,,1957
Засада,,Ёситаро Номура,,
И восходит солнце,драма,Генри Кинг,,1957
«Золушка»,"мюзикл,семейный,фэнтези,экранизация,фэнтези",Ральф Нельсон,,
Звезда едет на юг,"музыкальная,кинокомедия",Олдржих Липский,,1958
Запретная любовь,,Луис Сесар Амадори,,1958
Заколдованный остров,приключения,Аллан Двон,,1958
Заблудившееся орудие,,Йозеф Мах,,1958
Закон есть закон,комедия,Кристиан-Жак,,1958
Добро умирает в зародыше,"Криминальный триллер,Фильм нуар",Льюис Гилберт,,
Зеркало,,Ахмед Дыя эд-Дин,,
Звезда моего города,Мелодрама,Отар Абесадзе,,1970
Заметки в поисках африканского Ореста,Документальный,Пьер Паоло Пазолини,,
"И был вечер, и было утро…",,Алексей Салтыков,,1970
Зять из Бомбея,"комедия,социальный",Раджа Тхакур,,1970
"Здравствуй, грусть!",драма,Отто Премингер,,1958
Капитан «Старой черепахи»,Приключенческий фильм,"Всеволод Воронин,Генрих Габай",,1956
Заблудшие,,Калью Комиссаров,,1970
Как он лгал её мужу,,Татьяна Березанцева,,1956
Как Джанни попал в ад,,"Татьяна Березанцева,Иоаким Шароев",,1956
Зелёные цепочки,военно-детективный,Григорий Аронов,,
Источник,драма,Масаки Кобаяси,,
Карнавальная ночь,"комедия,музыкальный фильм,Джаз,Film Score,Поп",Эльдар Рязанов,,1956
Иностранная интрига,"детектив,нуар",,,1956
Из-за чести,,Арташес Ай-Артян,,1956
Иван Франко,,Тимофей Левчук,,1956
Искатели,вестерн,Джон Форд,,
Из вечности,,Джон Фэрроу,,1956
Илья Муромец,былина,Александр Птушко,,1956
Искатели,мелодрама,Михаил Шапиро,,1956
Забриски-Пойнт,драма,Микеланджело Антониони,,1970
Нескончаемая песня,"драма,мюзикл,биография","Чарльз Видор,Джордж Кьюкор",,1960
Непрощённая,"вестерн,драма",Джон Хьюстон,,1960
Неотправленное письмо,драма,Михаил Калатозов,,1960
Наследники,,Тимофей Левчук,,1960
Невинные дикари,Приключенческий фильм,Николас Рэй,,1960
Невинные чародеи,музыкальный фильм,Анджей Вайда,,1960
Невесты Дракулы,Ужасы,Теренс Фишер,,
Кафе «Минога»,"военный,комедия",,,1959
Катя — некоронованная царица,драматический фильм,Роберт Сиодмак,,1959
Ключ,,Кон Итикава,,1959
Киевлянка,,Тимофей Левчук,,
На ярком солнце,"триллер,драма",Рене Клеман,,1960
Кармен из Ронды (Кармен),"музыкальный фильм,мелодрама,драма",,,1959
Лучшие враги,"военный,комедия",Гай Хэмилтон,,1961
Капо,драма,Джилло Понтекорво,,1959
Карманник,,Робер Брессон,,1959
Лола,драма,Жак Деми,,1961
Любовник на пять дней,"мелодрама,комедия",Филипп де Брока,,1961
Любите ли вы Брамса?,"драма,мелодрама",Анатоль Литвак,,1961
Личное первенство,,Елена Скачко,,1961
Нападение,триллер,Пол Рота,,1962
Лесная песня,"драма,фэнтези,экранизация",Виктор Ивченко,,1961
Красотки,"музыкальная,романтическая комедия",,,1961
Наполненная жизнь,"фильм-драма,авторское кино",Сусуму Хани,,
"Кто вы, доктор Зорге?",драма,Ив Сиампи,,1961
Мятеж на «Баунти»,"приключения,драма","Кэрол Рид,Льюис Майлстоун",,1962
Ловушка для родителей,романтическая комедия,,,
"Леон Морен, священник",драма,Жан-Пьер Мельвиль,,1961
На семи ветрах,военный фильм,Станислав Ростоцкий,,1962
Мы поедем в Довиль,комедия,,,1962
Мыс страха,триллер,Дж. Ли Томпсон,,1962
Музыкант,музыкальный фильм,,,
"Мы, двое мужчин",киноповесть,Юрий Лысенко,,1962
Монахиня и сержант,,Франклин Адреон,,
Моя гейша,комедия,,,1962
Монета,драматический фильм,"Александр Алов,Владимир Наумов",,1962
Молчат только статуи,драматический фильм,Владимир Денисенко,,1962
Молодо-зелено,мелодрама,Константин Воинов,,1962
Няня,триллер,,,
Никто не хотел умирать,драма,Витаутас Жалакявичюс,,1965
Нефтяной принц,,,,
Нет неизвестных солдат,,Суламифь Цыбульник,,1965
«Обыкновенный фашизм»,документальный фильм,Михаил Ромм,,1965
Непокорённый батальон,драма,Гусейн Сеидзаде,,1965
Необыкновенный класс,,,,1965
Нелюбимая,"психологическая,драма,мелодрама",Януш Насфетер,,1965
Незабвенная,чёрная комедия,Тони Ричардсон,,
Легенда или быль? ,драма,Кэйсукэ Киносита,,1963
Ландрю,"документальная драма,криминальная драма,чёрная комедия",Клод Шаброль,,1963
Лето в Японии: двойное самоубийство,драма,Нагиса Осима,,1967
"Лев, колдунья и платяной шкаф","фэнтези,приключения,семейный",,,
Лето 1943 года,,Маргарита Касымова,,
Куклы смеются,Комедия,Николай Санишвили,,1963
"Кто работает, тот потерян",Драма,Тинто Брасс,,1963
Лис,мелодрама,Марк Райделл,,1967
"Легко пришло, легко ушло","комедия,музыкальный фильм,приключения",Джон Рич,,
Леопард,драма,Лукино Висконти,,1963
Нагая пастушка,,Ярослав Мах,,1966
На полпути к Луне,психологическая драма,Джемма Фирсова,,1966
Наедине с ночью,,Борис Силаев,,1966
Лав,комедия,Клайв Доннер,,1967
Насилие в полдень,драма,Нагиса Осима,,1966
На прицеле у смерти,"боевик,криминальный фильм,триллер",Мишель Буарон,,1966
Мужчина и женщина,мелодрама,Клод Лелуш,,1966
Морган: Подходящий случай для терапии,"комедия,драма",Карел Рейш,,1966
Мужское — женское,драма,Жан-Люк Годар,,1966
Молодой Хоук,драматический фильм,Делмер Дэйвс,,1964
Молодожён,,Валерий Исаков,,1964
Морозко,"фильм-сказка,комедия",Александр Роу,,1964
Мирное время,,Борис Кимягаров,,1964
Москва — Генуя,,"Алексей Спешнев,Владимир Корш-Саблин,Павел Арманд",,1964
Мир без солнца,документальный фильм,Жак-Ив Кусто,,1964
Красиво уйти,комедия,Мартин Брест,,1979
Мальчики,,Екатерина Сташевская-Народицкая,,1971
Когда звонит незнакомец,"Детектив,триллер",,,1979
Красавица и Чудовище,"ужасы,фэнтези,мелодрама",Юрай Герц,,
Крамер против Крамера,драма,Роберт Бентон,,1979
Кот в сапогах,телеспектакль,Светлана Джимбинова,,1979
Мальпертюи,"драма,фэнтези,фильм ужасов",Гарри Кюмель,,1971
Макс и жестянщики,криминальная драма,Клод Соте,,1971
Маккейб и миссис Миллер,вестерн,Роберт Олтмен,,1971
Лючия ди Ламмермур,"фильм,опера,музыкальный фильм,драма,мелодрама",,,1971
Легенда Богги Крик,"ужасы,псевдодокументальный фильм,детектив",,,1972
Куртизанка,"музыкальный фильм,мелодрама",,,1972
Макбет,драма,Роман Полански,,1971
Кто видел её смерть?,"триллер,фильм ужасов",Альдо Ладо,,1972
Кулак ярости,"боевик,о боевых искусствах",Ло Вэй,,1972
Леди Каролина Лэм,"драма,исторический фильм,мелодрама",Роберт Болт,,1972
Кровавые пальцы,"боевик,драма",Гуань Шань,,1972
Крутой парень,боевик,,,1972
Круг,детективный фильм,Герберт Раппапорт,,1972
Кровавые кулаки,боевик,,,
Маньчжурский боксёр,"боевик,драма",,,1973
Мачеха,мелодрама,Олег Бондарёв,,1973
Малыш,"ужасы,триллер",Тед Пост,,
Мальчишку звали капитаном,"военная,драма",Марк Толмачёв,,1973
Маленький тигр из Квантунга,"боевик,драма",Нгай Хойфун,,1973
Мамочка и шлюха,драма,Жан Эсташ,,1973
Мужчине живётся трудно. ,,Ёдзи Ямада,,1974
Мужчине живётся трудно. ,,Ёдзи Ямада,,1974
Мститель из Гянджабасара,"боевик,фильм-биография,исторический фильм","Расим Оджагов,Талят Рахманов",,1974
Моя судьба,драма,Леонид Пчёлкин,,1974
"Москва, любовь моя",мелодрама,"Александр Митта,Кэндзи Ёсида",,1974
Морские ворота,,Сергей Тарасов,,1974
Молодые драконы,боевик,Джон Ву,,1974
Наваждение,"триллер,драма",,,
Мои первые увлечения,драма,Жан Эсташ,,1974
Молодой Франкенштейн,комедия,Мел Брукс,,1974
Мужчине живётся трудно. ,,Ёдзи Ямада,,1976
Моя любовь на третьем курсе,,Юрий Борецкий,,1976
Моя Кармен,,Виктор Окунцов,,1976
Мужчине живётся трудно. ,комедия,Ёдзи Ямада,,
Моё дело,драма,Леонид Марягин,,1976
На пути к славе,"биография,музыкальная драма",Хэл Эшби,,1976
"Моряк, который потерял милость моря","мистическая драма,триллер",,,1976
Мир будущего,фантастика,Ричард Т. Хеффрон,,1976
Метеор-убийца,"боевик,триллер",Ло Вэй,,1976
Неисправимый,комедия,Филипп де Брока,,1975
Новая игра смерти,"боевик,драма,триллер",,,1975
Милый лжец,,Анатолий Эфрос,,1976
Незнакомец пришёл обнажённым,эротический фильм,,,
Месьё Кляйн,"мистическая,криминальная драма",Джозеф Лоузи,,1976
Ночи и дни,"драма,мелодрама,военный фильм",Ежи Антчак,,
Недостойное поведение,"драма,детектив,юридический триллер",Майкл Андерсон,,1975
Невинные с грязными руками,"криминальный фильм,драма,триллер",Клод Шаброль,,1975
"Не верь, что меня больше нет",,Караман Мгеладзе,,1975
Невеста с севера,"комедия,мюзикл",Нерсес Оганесян,,1975
Не может быть!,"комедия,сатира",Леонид Гайдай,,1975
Не упускай из виду,комедия,Клод Зиди,,1975
Наперекор судьбе,,Эрикс Лацис,,1975
Мстительная красавица,"боевик,приключенческий фильм,драма",,,1978
Молчаливый партнёр,,,,1978
Море,,Леонид Осыка,,1978
Право на любовь,,Анатолий Слесаренко,,1977
Мой ласковый и нежный зверь,мелодрама,Эмиль Лотяну,,1978
Молодая жена,мелодрама,Леонид Менакер,,1978
Потомство демона,"научная фантастика,ужасы",Дональд Кэммелл,,1977
Последствия,драма,Вольфганг Петерсен,,1977
Последняя оргия Третьего рейха,"фильм ужасов,военный фильм",,,
"Поцелуй меня, убийца","криминальный фильм,триллер",Хесус Франко,,
Последний год Беркута,Истерн,"Лысенко, Вадим Григорьевич",,1977
Вихри враждебные,"фильм-биография,драма",Михаил Калатозов,,
Возвращение Василия Бортникова,драма,Всеволод Пудовкин,,1953
Послание,"религиозно-исторический,эпический",Мустафа Аккад,,
Ангелы греха,драма,Робер Брессон,,1943
13 дней во Франции,"документальный фильм,спортивный фильм","Клод Лелуш,Франсуа Рейшенбах",,1968
Армия,фильм-драма,Кэйсукэ Киносита,,
Последняя волна,"Мистика,Триллер",Питер Уир,,1977
Верьте мне,комедия,Жиль Гранжье,,1953
Вечер шутов,драма,Ингмар Бергман,,1953
Викки,Фильм нуар,Гарри Хорнер,,1953
Великое прощание,документальное кино,,,1953
Варавва,драматический фильм,Альф Шёберг,,1953
Весна в Москве,драма,"Надежда Кошеверова,Иосиф Хейфиц",,1953
Великий воин Албании Скандербег,исторический фильм,Сергей Юткевич,,1953
Беззаконие,комедия,Константин Юдин,,1953
Алеко,,Сергей Сиделёв,,1953
Ангел в отпуске,,Борживой Земан,,1953
Алёша Птицын вырабатывает характер,"комедия,детский",Анатолий Граник,,
Аида,"фильм,опера,музыкальный фильм,драма,мелодрама",,,1953
Арена смелых,"музыкально-цирковое представление,документальный фильм,фильм-концерт","Сергей Гуров,Юрий Озеров",,1953
Белая грива: Дикая лошадь,детский фильм,Альбер Ламорис,,1953
Агенты казначейства,нуар,Энтони Манн,,1947
13-й участок,"криминальный фильм,драма,экранизация",Мартин Фрич,,1946
Воровское шоссе,нуар,Жюль Дассен,,
Верёвка из песка,приключенческий фильм,Уильям Дитерле,,1949
Вертикальный взлёт,военный фильм,Генри Кинг,,1949
Возвращение к жизни,драматический фильм,,,
Владимир Ильич Ленин,фильм-биография,"Михаил Ромм,Василий Беляев",,1949
Венские девушки,музыкальный фильм,,,
Бэтмен и Робин,"супергеройский фильм,боевик,фантастика",,,
Белокурая бандитка,Фильм нуар,Гарри Келлер,,
Блестящие дни нашей жизни,"криминальная,драма,нуар",Кодзабуро Ёсимура,,
Берлинский экспресс,"нуар,Триллер",Жак Турнёр,,1948
Большой обман,"Фильм нуар,Мелодрама,Комедия,Триллер",Дон Сигел,,1949
Брошенная,Фильм нуар,Джозеф М. Ньюман,,1949
Безжалостный,"Фильм нуар,Психологическая драма",Эдгар Г. Ульмер,,1948
Бессмысленный триумф,Фильм нуар,Стив Секели,,
Анна Каренина,"драма,мелодрама",Жюльен Дювивье,,1948
Акт убийства,,Майкл Гордон,,1948
Весна в Сакене,драма,Николай Санишвили,,1950
Винчестер-73,вестерн,Энтони Манн,,1950
Великий Гэтсби,драматический фильм,,,
Акт насилия,"Фильм нуар,Драма",Фред Циннеман,,
В укромном месте,"нуар,мелодрама",Николас Рэй,,1950
«В мирные дни»,приключенческий фильм,Владимир Браун,,1950
Битва за Британию,драма,Гай Хэмилтон,,1969
Великая сила,драма,Фридрих Эрмлер,,1950
Бульвар Сансет,"драма,нуар",Билли Уайлдер,,1950
В клетке,Фильм нуар,Джон Кромвелл,,
