title,genre,director,country,year
Кошмары,"кинофантастика,фильм ужасов",,,2020
"Кошки против собак 3: Лапы, объединяйтесь!","комедия,семейный,боевик,фэнтези",Шон Макнамара,,2020
Любовь с первого взгляда,романтическая комедия,,,
Любовь-морковь: Восстание машин,комедийный фильм,,,2023
Кровные узы,Триллер,,,2020
Коп на драйве,комедия,Тарек Будали,,2020
Конференция,драма,Иван И. Твердовский,,2020
Король Стейтен-Айленда,"комедия,драма",Джадд Апатоу,,2020
Доктор Сон,ужасы,Майк Флэнаган,,2019
Коффи и Карим,"боевик,комедия",Майкл Даус,,
Корпоративные животные,кинокомедия,Патрик Брайс,,
Кома,"фантастика,фэнтези,боевик,приключения",Никита Аргунов,,
Домино,"криминальный фильм,триллер",Брайан Де Пальма,,2019
Дикая лига,"спортивная,драма,исторический","Андрей Богатырёв,Арт Камачо",,2019
Джуманджи: Новый уровень,"фэнтезийная комедия,приключения",Джейк Кэздан,,2019
Дитя робота,"фантастика,триллер",,,
Дождливый день в Нью-Йорке,Романтическая комедия,Вуди Аллен,,2019
Для Самы,документальный фильм,,,
Джуди и Панч,"чёрная комедия,триллер",,,2019
Лулу и Бриггс,"комедийная драма,роуд-муви",Ченнинг Татум,,2022
Дикие мальчишки,приключенческий фильм,,,
Лицо памяти,драма,Доминик Граф,,
Лето 1941 года,,,,2022
Кусочек неба,драма,,,2022
Легенды «Орлёнка»,"фэнтези,комедия,приключения,семейный",Ольга Беляева,,2022
Кроссовушка,"мюзикл,комедия",Элизабет Аллен Розенбаум,,
Либерея: Охотники за сокровищами,"приключения,боевик",Глеб Орлов,,2022
Крик,слэшер,,,
Лесной разбойник,"фэнтезийный фильм,приключенческий фильм,детский фильм,комедия,семейный фильм",Михаэль Крумменахер,,2022
Ламборгини: ,"биографический фильм,драма",,,
Кто там?,триллер,Виталий Дудка,,2022
Костюм,"криминал,драма",Грэм Мур,,2022
Крепость 2: Глаз снайпера,"боевик,триллер",,,2022
Красная Шапочка,"фэнтези,приключения,семейный","Лина Арифулина,Александр Баршак,Артём Аксёненко",,2022
Королевы династии Цин,драма,,,2022
Король-львёнок,"семейный фильм,приключенческий фильм",,,2022
Корсаж,драматический фильм,,,
Кома,драма,Бертран Бонелло,,2022
Королева-воин,эпический фильм,,,2022
Корабль в Пусан,боевик,,,2022
Когда ты закончишь спасать мир,комедийная драма,,,
Код 355,боевик,Саймон Кинберг,,
Локдаун,фильм-ограбление,,,
Колено Ахед,драматический фильм,,,
Ледяная дорога,,Джонатан Хенсли,,2021
Лига справедливости,,Зак Снайдер,,2021
Кэндимен,слэшер,,,2021
Лауреат,биографический фильм,Уильям Нуньез,,2021
Лето соула,документальный фильм,,,
Лётчик,"военный,биография,драма,история",Ренат Давлетьяров,,2021
Лакричная пицца,"драма,комедия",Пол Томас Андерсон,,2021
Легенда о Зелёном рыцаре,"фэнтези,драма",Дэвид Лоури,,2021
Культовые тусовщики,фильм-биография,Ник Моран,,2021
Круиз по джунглям,приключенческий фильм,Жауме Кольет-Серра,,2021
Крепость,"боевик,триллер",,,2021
Кроличья лапа,,Нана Джорджадзе,,2021
Кролик Питер 2,"комедия,семейный",,,2021
Кто-нибудь видел мою девчонку?,драма,Ангелина Никонова,,
Круэлла,криминальная комедия,Крейг Гиллеспи,,2021
Куб,"научная фантастика,фильм ужасов",,,2021
Купе номер шесть,драма,Юхо Куосманен,,2021
Красотка на взводе,,Таня Уэкслер,,2021
Красный призрак,"боевик,притча,приключения,истерн",Андрей Богатырёв,,2021
Красные пророчества,"боевик,триллер",,,2021
Красное уведомление,фильм-триллер,Роусон Маршалл Тёрбер,,2021
Красная ракета,"драма,комедия",,,2021
Край света,"историко,приключенческая,драма",Майкл Хауссман,,2021
Кошачьи миры Луиса Уэйна,драматический фильм,Уилл Шарп,,2021
Космический джем: Новое поколение,"комедия,спорт,поп-рэп,трэп",Малкольм Д. Ли,,2021
Sommartider – Filmen om Gyllene Tider,биографический фильм,,,
"Я, Победа и Берлин","кинокомедия,дорожное кино",,,2024
L’Amour ouf,драматический фильм,,,2024
Dance first,"драма,биография",Джеймс Марш,,
Я видел свечение телевизора,фильм ужасов,,,2024
Y2K,комедийный фильм,,,
Я — капитан,драматический фильм,,,
Электрический штат,научно-фантастический фильм,,,
Эдем,триллер,Рон Ховард,,
